who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ?	HUM	(ROOT (SBARQ (WHNP (WP who)) (@SBARQ (SQ (VBZ is) (NP (NP (DT the) (NN author)) (PP (IN of) (NP (@NP (@NP (@NP (NP (DT the) (NN book)) (, ,)) (`` ``)) (NP (@NP (NP (DT the) (@NP (NN iron) (NN lady))) (: :)) (NP (NP (DT a) (NN biography)) (PP (IN of) (NP (NN margaret) (NN thatcher)))))) ('' ''))))) (. ?))))
0	0	domestic food supply is not in danger , he added , and a price of <num> forints for a kilogram of bread is out of the question .	(ROOT (S (@S (@S (@S (S (NP (JJ domestic) (@NP (NN food) (NN supply))) (VP (@VP (VBZ is) (RB not)) (PP (IN in) (NP (NN danger))))) (PRN (, ,) (@PRN (S (NP (PRP he)) (VP (VBD added))) (, ,)))) (CC and)) (S (NP (NP (DT a) (NN price)) (PP (IN of) (NP (NP (NN <num>) (NNS forints)) (PP (IN for) (NP (NP (DT a) (NN kilogram)) (PP (IN of) (NP (NN bread)))))))) (VP (VBZ is) (ADJP (IN out) (PP (IN of) (NP (DT the) (NN question))))))) (. .)))
0	0	-lrb- budapest mti in english <num> gmt <num> jan <num> au -rrb- central bank credit line for long-term export financing : the hungarian national bank -lrb- mnb -rrb- plans to earmark <num> billion forints -- half of its planned <num> net loans to the banking system -- for export financing .	(ROOT (FRAG (X (NP (NP (JJ -lrb-) (@NP (NN budapest) (NN mti))) (PP (IN in) (NP (JJ english) (@NP (NN <num>) (@NP (NN gmt) (NN <num>)))))) (@X (NP (NN jan) (NN <num>)) (NP (NP (NN au) (@NP (JJ -rrb-) (@NP (JJ central) (@NP (NN bank) (@NP (NN credit) (NN line)))))) (PP (IN for) (NP (JJ long-term) (@NP (NN export) (NN financing))))))) (@FRAG (: :) (@FRAG (NP (NP (DT the) (@NP (JJ hungarian) (@NP (JJ national) (@NP (NN bank) (@NP (JJ -lrb-) (NN mnb)))))) (SBAR (S (NP (JJ -rrb-) (NNS plans)) (VP (TO to) (VP (@VP (VB earmark) (NP (NP (QP (CD <num>) (CD billion)) (NNS forints)) (PRN (: --) (@PRN (NP (@NP (NP (NN half)) (PP (IN of) (NP (PRP$ its) (@NP (JJ planned) (@NP (NN <num>) (@NP (JJ net) (NNS loans))))))) (PP (TO to) (NP (DT the) (@NP (NN banking) (NN system))))) (: --))))) (PP (IN for) (NP (NN export) (NN financing)))))))) (. .)))))
0	0	total expenditure exceeded revenue in <num> , amounting to <num> billion forints , over two-thirds of which were obligations to the national economy .	(ROOT (S (NP (JJ total) (NN expenditure)) (@S (VP (@VP (@VP (@VP (@VP (@VP (VBD exceeded) (NP (NN revenue))) (PP (IN in) (NP (NN <num>)))) (, ,)) (S (VP (VBG amounting) (PP (TO to) (NP (QP (CD <num>) (CD billion)) (NNS forints)))))) (, ,)) (PP (IN over) (NP (NP (NNS two-thirds)) (PP (IN of) (SBAR (WHNP (WDT which)) (S (VP (VBD were) (NP (NP (NNS obligations)) (PP (TO to) (NP (DT the) (@NP (JJ national) (NN economy)))))))))))) (. .))))
0	0	the withdrawal of compensation vouchers cost <num> billion forints , while a further considerable sum was used to raise the state holding company 's registered capital by <num> billion forints .	(ROOT (S (NP (NP (DT the) (NN withdrawal)) (PP (IN of) (NP (NN compensation) (NNS vouchers)))) (@S (VP (@VP (@VP (VBD cost) (NP (QP (CD <num>) (CD billion)) (NNS forints))) (, ,)) (SBAR (IN while) (S (NP (DT a) (@NP (JJ further) (@NP (JJ considerable) (NN sum)))) (VP (VBD was) (VP (VBN used) (S (VP (TO to) (VP (@VP (VB raise) (NP (NP (DT the) (@NP (NN state) (@NP (VBG holding) (@NP (NN company) (POS 's))))) (@NP (JJ registered) (NN capital)))) (PP (IN by) (NP (QP (CD <num>) (CD billion)) (NNS forints))))))))))) (. .))))
0	0	austria is involved in <num> companies , while germany in <num> .	(ROOT (S (NP (NN austria)) (@S (VP (VBZ is) (VP (@VP (@VP (VBN involved) (PP (IN in) (NP (NN <num>) (NNS companies)))) (, ,)) (PP (IN while) (NP (NP (NN germany)) (PP (IN in) (NP (NN <num>))))))) (. .))))
0	0	the share of foreign capital in privatized property has totalled <num> billion forints over the past three years , a third of which was invested in hungary by austria and germany .	(ROOT (S (NP (NP (DT the) (NN share)) (PP (IN of) (NP (NP (JJ foreign) (NN capital)) (PP (IN in) (NP (VBN privatized) (NN property)))))) (@S (VP (VBZ has) (VP (@VP (VBN totalled) (NP (QP (CD <num>) (CD billion)) (NNS forints))) (PP (IN over) (NP (@NP (NP (DT the) (@NP (JJ past) (@NP (CD three) (NNS years)))) (, ,)) (SBAR (WHNP (NP (DT a) (JJ third)) (WHPP (IN of) (WHNP (WDT which)))) (S (VP (VBD was) (VP (@VP (VBN invested) (PP (IN in) (ADJP (JJ hungary)))) (PP (IN by) (NP (@NP (NN austria) (CC and)) (NN germany))))))))))) (. .))))
0	0	in <num> , trading on the exchange exceeded <num> billion forints -lrb- $ <num> million -rrb- , two-and- one-half times the amount of the previous year .	(ROOT (S (PP (IN in) (NP (NN <num>))) (@S (, ,) (@S (NP (NP (NN trading)) (PP (IN on) (NP (DT the) (NN exchange)))) (@S (VP (@VP (VBD exceeded) (NP (QP (CD <num>) (CD billion)) (NNS forints))) (NP (@NP (NP (NP (JJ -lrb-) (QP (@QP ($ $) (CD <num>)) (CD million))) (ADJP (JJ -rrb-) (@ADJP (, ,) (JJ two-and)))) (: -)) (NP (NP (QP (JJ one-half) (NNS times)) (@NP (DT the) (NN amount))) (PP (IN of) (NP (DT the) (@NP (JJ previous) (NN year))))))) (. .))))))
0	0	total trade in <num> was close to <num> billion forints , with <num> million tons of grain changing hands there -- nearly a quarter of hungary 's overall grain trade .	(ROOT (S (NP (NP (JJ total) (NN trade)) (PP (IN in) (NP (NN <num>)))) (@S (VP (@VP (@VP (VBD was) (ADJP (JJ close) (PP (TO to) (NP (QP (CD <num>) (CD billion)) (NNS forints))))) (, ,)) (PP (IN with) (S (NP (NP (QP (CD <num>) (CD million)) (NNS tons)) (PP (IN of) (NP (NN grain)))) (VP (@VP (@VP (VBG changing) (NP (NNS hands))) (ADVP (RB there))) (PRN (: --) (NP (NP (QP (RB nearly) (@QP (DT a) (NN quarter)))) (PP (IN of) (NP (NP (NN hungary) (POS 's)) (@NP (JJ overall) (@NP (NN grain) (NN trade))))))))))) (. .))))
0	0	hungary 's location at the intersection of two large pipelines makes budapest a good place to host an exchange for crude oil from various countries , especially considering that the price of oil from the former soviet union is not yet quoted on international exchanges .	(ROOT (S (NP (NP (NP (NN hungary) (POS 's)) (NN location)) (PP (IN at) (NP (NP (DT the) (NN intersection)) (PP (IN of) (NP (CD two) (@NP (JJ large) (NNS pipelines))))))) (@S (VP (VBZ makes) (S (NP (NP (JJS budapest)) (NP (DT a) (@NP (JJ good) (NN place)))) (VP (TO to) (VP (@VP (@VP (@VP (VB host) (NP (NP (DT an) (NN exchange)) (PP (IN for) (NP (JJ crude) (NN oil))))) (PP (IN from) (NP (JJ various) (NNS countries)))) (, ,)) (S (ADVP (RB especially)) (VP (VBG considering) (SBAR (IN that) (S (NP (NP (DT the) (NN price)) (PP (IN of) (NP (NP (NN oil)) (PP (IN from) (NP (DT the) (@NP (JJ former) (@NP (JJ soviet) (NN union)))))))) (VP (@VP (VBZ is) (RB not)) (VP (ADVP (RB yet)) (@VP (VBN quoted) (PP (IN on) (NP (JJ international) (NNS exchanges)))))))))))))) (. .))))
0	0	in <num> , <num> hungarian -made suzukis , 35o imported swifts , and <num> marutis were sold in hungary .	(ROOT (FRAG (PP (IN in) (NP (@NP (NP (NN <num>)) (, ,)) (ADJP (JJ <num>) (JJ hungarian)))) (@FRAG (: -) (@FRAG (S (VP (VBN made) (NP (@NP (@NP (@NP (@NP (NP (NNS suzukis)) (, ,)) (NP (NN 35o) (@NP (VBN imported) (NNS swifts)))) (, ,)) (CC and)) (NP (NP (NN <num>) (NNS marutis)) (SBAR (S (VP (VBD were) (VP (VBN sold) (PP (IN in) (ADJP (JJ hungary))))))))))) (. .)))))
0	0	currently , <num> hungarian companies deliver spare parts for the esztergom factory .	(ROOT (S (ADVP (RB currently)) (@S (, ,) (@S (NP (JJ <num>) (@NP (JJ hungarian) (NNS companies))) (@S (VP (VBP deliver) (NP (NP (JJ spare) (NNS parts)) (PP (IN for) (NP (DT the) (@NP (NN esztergom) (NN factory)))))) (. .))))))
0	0	the proportion of domestic suppliers is expected to reach <num> percent by late march , which , together with 1o percent european suppliers , will give the <num> -percent ratio that exempts hungarian suzukis from european union customs duty .	(ROOT (S (NP (NP (DT the) (NN proportion)) (PP (IN of) (NP (JJ domestic) (NNS suppliers)))) (@S (VP (VBZ is) (VP (VBN expected) (S (VP (TO to) (VP (@VP (VB reach) (NP (NN <num>) (NN percent))) (PP (IN by) (NP (@NP (NP (JJ late) (NN march)) (, ,)) (SBAR (WHNP (WDT which)) (S (PRN (, ,) (@PRN (ADVP (RB together)) (@PRN (PP (IN with) (NP (NN 1o) (@NP (NN percent) (@NP (NN european) (NNS suppliers))))) (, ,)))) (VP (MD will) (VP (VB give) (NP (@NP (NP (DT the) (NN <num>)) (: -)) (NP (NP (NN percent) (NN ratio)) (SBAR (WHNP (WDT that)) (S (VP (@VP (VBZ exempts) (NP (JJ hungarian) (NNS suzukis))) (PP (IN from) (NP (JJ european) (@NP (NN union) (@NP (NNS customs) (NN duty))))))))))))))))))))) (. .))))
0	0	last year , eight firms supplying suzuki received financial support or interest preferences worth a total of <num> million forints .	(ROOT (S (NP-TMP (JJ last) (NN year)) (@S (, ,) (@S (NP (NP (CD eight) (NNS firms)) (VP (VBG supplying) (NP (NN suzuki)))) (@S (VP (@VP (VBD received) (NP (JJ financial) (@NP (NN support) (@NP (CC or) (@NP (NN interest) (NNS preferences)))))) (PP (IN worth) (NP (NP (DT a) (NN total)) (PP (IN of) (NP (QP (CD <num>) (CD million)) (NNS forints)))))) (. .))))))
0	0	-lrb- budapest mti in english <num> gmt <num> jan <num> au -rrb- ge invests $ 30-50 million per year in hungary : the u.s. general electric -lrb- ge -rrb- company invests $ 30-50 million a year in its hungarian projects .	(ROOT (S (@S (@S (S (NP (NP (JJ -lrb-) (@NP (NN budapest) (NN mti))) (PP (IN in) (NP (NP (JJ english) (@NP (NN <num>) (@NP (NN gmt) (@NP (NN <num>) (@NP (NN jan) (@NP (NN <num>) (NN au))))))) (NP (JJ -rrb-) (NN ge))))) (VP (@VP (VBZ invests) (NP (NP (QP (@QP ($ $) (CD 30-50)) (CD million))) (PP (IN per) (NP (NN year))))) (PP (IN in) (ADJP (JJ hungary))))) (: :)) (S (NP (DT the) (@NP (JJ u.s.) (@NP (JJ general) (@NP (JJ electric) (@NP (JJ -lrb-) (@NP (NN ge) (@NP (JJ -rrb-) (NN company)))))))) (VP (VBZ invests) (NP (@NP (NP (QP (@QP ($ $) (CD 30-50)) (CD million))) (NP (DT a) (NN year))) (PP (IN in) (NP (PRP$ its) (@NP (JJ hungarian) (NNS projects)))))))) (. .)))
0	0	after lay-offs in the initial period , the company has created <num> jobs .	(ROOT (S (PP (IN after) (NP (NP (NNS lay-offs)) (PP (IN in) (NP (DT the) (@NP (JJ initial) (NN period)))))) (@S (, ,) (@S (NP (DT the) (NN company)) (@S (VP (VBZ has) (VP (VBN created) (NP (JJ <num>) (NNS jobs)))) (. .))))))
0	0	-lrb- budapest mti in english <num> gmt <num> jan <num> au -rrb- malev to lease back boeing <num> 's for u.s. flights : hungarian airlines malev is expected to deal with a cash crisis by signing a deal with a u.s. airline in the next two weeks to have its two boeing -767 aircraft jointly operating on the budapest - new york route this summer .	(ROOT (NP (@NP (@NP (NP (NP (JJ -lrb-) (@NP (NN budapest) (NN mti))) (PP (IN in) (NP (NP (JJ english) (@NP (NN <num>) (@NP (NN gmt) (@NP (NN <num>) (@NP (NN jan) (@NP (NN <num>) (@NP (NN au) (@NP (JJ -rrb-) (NN malev))))))))) (SBAR (S (VP (TO to) (VP (@VP (VB lease) (ADVP (RB back))) (S (VP (VBG boeing) (NP (@NP (NP (NP (NN <num>) (POS 's)) (PP (IN for) (NP (JJ u.s.) (NNS flights)))) (: :)) (NP (NP (JJ hungarian) (NNS airlines)) (SBAR (S (NP (NN malev)) (VP (VBZ is) (VP (VBN expected) (S (VP (TO to) (VP (@VP (VB deal) (PP (IN with) (NP (DT a) (@NP (NN cash) (NN crisis))))) (PP (IN by) (S (VP (@VP (@VP (VBG signing) (NP (DT a) (NN deal))) (PP (IN with) (NP (NP (DT a) (@NP (JJ u.s.) (NN airline))) (PP (IN in) (NP (DT the) (@NP (JJ next) (@NP (CD two) (NNS weeks)))))))) (S (VP (TO to) (VP (VB have) (NP (NP (PRP$ its) (NX (CD two))) (VP (VBG boeing) (NP (NP (CD -767) (NN aircraft)) (VP (ADVP (RB jointly)) (@VP (VBG operating) (PP (IN on) (NP (DT the) (NN budapest)))))))))))))))))))))))))))))))) (: -)) (NP (NP (JJ new) (@NP (NN york) (NN route))) (NP-TMP (DT this) (NN summer)))) (. .)))
0	0	-lrb- alitalia has a third of malev 's shares . -rrb-	(ROOT (S (NP (JJ -lrb-) (NN alitalia)) (@S (VP (VBZ has) (NP (NP (DT a) (JJ third)) (PP (IN of) (NP (NP (NN malev) (POS 's)) (NNS shares))))) (. .))))
0	0	to be constructed by the joint hungarian - italian company ganz ansaldo -- from world bank and european investment bank credit -- the new block will not only produce electricity but will heat <num> flats with what is called `` tired steam . ''	(ROOT (S (@S (@S (@S (S (VP (TO to) (VP (VB be) (VP (@VP (VBN constructed) (PP (IN by) (NP (NP (DT the) (@NP (JJ joint) (JJ hungarian))) (PRN (: -) (@PRN (NP (JJ italian) (@NP (NN company) (@NP (NN ganz) (NN ansaldo)))) (: --)))))) (PP (IN from) (NP (@NP (NP (NN world) (NN bank)) (CC and)) (NP (JJ european) (@NP (NN investment) (@NP (NN bank) (NN credit)))))))))) (: --)) (S (NP (NP (DT the) (@NP (JJ new) (NN block))) (VP (MD will) (RB not))) (@S (ADVP (RB only)) (VP (@VP (VP (VBP produce) (NP (NN electricity))) (CC but)) (VP (MD will) (VP (@VP (VB heat) (NP (JJ <num>) (NNS flats))) (PP (IN with) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (@VP (VBN called) (`` ``)) (NP (JJ tired) (NN steam))))))))))))) (. .)) ('' '')))
0	0	the <num> million forint investment will be completed in the second half of <num> .	(ROOT (S (NP (DT the) (@NP (ADJP (QP (CD <num>) (CD million))) (@NP (NN forint) (NN investment)))) (@S (VP (MD will) (VP (VB be) (VP (VBN completed) (PP (IN in) (NP (NP (DT the) (@NP (JJ second) (NN half))) (PP (IN of) (NP (NN <num>)))))))) (. .))))
0	0	including imports of <num> million tons of oil and <num> billion cubic meters of gas , hydrocarbons accounted for <num> percent of energy use .	(ROOT (S (PP (VBG including) (NP (NP (NNS imports)) (PP (IN of) (NP (@NP (NP (NP (QP (CD <num>) (CD million)) (NNS tons)) (PP (IN of) (NP (NN oil)))) (CC and)) (NP (NP (QP (CD <num>) (CD billion)) (@NP (JJ cubic) (NNS meters))) (PP (IN of) (NP (NN gas)))))))) (@S (, ,) (@S (NP (NNS hydrocarbons)) (@S (VP (VBD accounted) (PP (IN for) (NP (NP (NN <num>) (NN percent)) (PP (IN of) (NP (NN energy) (NN use)))))) (. .))))))
0	0	electricity consumption rose by <num> percent and consumption was close to <num> gigawatt-hours , including imports of <num> gigawatt-hours , which covered <num> percent of consumption , compared with <num> percent in <num> .	(ROOT (S (@S (@S (S (NP (NN electricity) (NN consumption)) (VP (VBD rose) (PP (IN by) (NP (NN <num>) (NN percent))))) (CC and)) (S (NP (NN consumption)) (VP (VBD was) (ADJP (JJ close) (S (VP (TO to) (VP (VB <num>) (NP (@NP (@NP (@NP (NP (NNS gigawatt-hours)) (, ,)) (PP (VBG including) (NP (NP (NNS imports)) (PP (IN of) (NP (JJ <num>) (NNS gigawatt-hours)))))) (, ,)) (SBAR (WHNP (WDT which)) (S (VP (@VP (@VP (VBD covered) (NP (NP (JJ <num>) (NN percent)) (PP (IN of) (NP (NN consumption))))) (, ,)) (PP (VBN compared) (PP (IN with) (NP (NP (NN <num>) (NN percent)) (PP (IN in) (NP (NN <num>))))))))))))))))) (. .)))
0	0	according to a recent report of the central statistical office , in late <num> there were <num> business organizations with legal personality , <num> percent more than a year before , in the country .	(ROOT (S (PP (@PP (@PP (VBG according) (PP (TO to) (NP (NP (DT a) (@NP (JJ recent) (NN report))) (PP (IN of) (NP (DT the) (@NP (JJ central) (@NP (JJ statistical) (NN office)))))))) (, ,)) (PP (IN in) (NP (JJ late) (NN <num>)))) (@S (NP (EX there)) (@S (VP (VBD were) (NP (@NP (@NP (@NP (@NP (NP (NN <num>) (@NP (NN business) (NNS organizations))) (PP (IN with) (NP (JJ legal) (NN personality)))) (, ,)) (VP (NP (NN <num>) (NN percent)) (ADVP (NP (QP (JJR more) (@QP (IN than) (DT a))) (NN year)) (IN before)))) (, ,)) (PP (IN in) (NP (DT the) (NN country))))) (. .)))))
0	0	business organizations without legal personality numbered <num> , <num> percent more than in late december .	(ROOT (S (NP (NP (NN business) (NNS organizations)) (PP (IN without) (NP (JJ legal) (NN personality)))) (@S (VP (@VP (@VP (VBD numbered) (NP (NN <num>) (@NP (, ,) (@NP (NN <num>) (NN percent))))) (ADVP (JJR more) (IN than))) (PP (IN in) (NP (JJ late) (NNP december)))) (. .))))
0	0	the number of private entrepreneurs increased by <num> percent , to <num> .	(ROOT (S (NP (NP (DT the) (NN number)) (PP (IN of) (NP (JJ private) (NNS entrepreneurs)))) (@S (VP (@VP (@VP (VBN increased) (PP (IN by) (NP (NN <num>) (NN percent)))) (, ,)) (S (VP (TO to) (VP (VB <num>))))) (. .))))
0	0	seven funds were established under one law : funds for tourism , trade development , investment promotion , water management , environmental protection , market intervention , and regional development .	(ROOT (S (NP (CD seven) (NNS funds)) (@S (VP (VBD were) (VP (VBN established) (PP (IN under) (NP (@NP (NP (CD one) (NN law)) (: :)) (NP (NP (NNS funds)) (PP (IN for) (NP (@NP (@NP (@NP (@NP (@NP (@NP (@NP (@NP (@NP (@NP (@NP (@NP (NP (NN tourism)) (, ,)) (NP (NN trade) (NN development))) (, ,)) (NP (NN investment) (NN promotion))) (, ,)) (NP (NN water) (NN management))) (, ,)) (NP (JJ environmental) (NN protection))) (, ,)) (NP (NN market) (NN intervention))) (, ,)) (CC and)) (NP (JJ regional) (NN development))))))))) (. .))))
0	0	a further six agricultural funds were set up under one law and other funds are regulated by individual laws .	(ROOT (S (@S (@S (S (NP (DT a) (@NP (JJ further) (@NP (CD six) (@NP (JJ agricultural) (NNS funds))))) (VP (VBD were) (VP (@VP (VBN set) (PRT (RP up))) (PP (IN under) (NP (CD one) (NN law)))))) (CC and)) (S (NP (JJ other) (NNS funds)) (VP (VBP are) (VP (VBN regulated) (PP (IN by) (NP (JJ individual) (NNS laws))))))) (. .)))
0	0	i <num> , just over a third of the funds ' total income came from central budget support , and this year the proportion will fall to slightly over a sixth , even though the total income of the funds will be <num> billion forints higher this year than last .	(ROOT (S (@S (@S (@S (S (NP (@NP (NP (LS i) (NN <num>)) (, ,)) (ADVP (RB just) (PP (IN over) (NP (NP (DT a) (JJ third)) (PP (IN of) (NP (NP (DT the) (@NP (NNS funds) (POS '))) (@NP (JJ total) (NN income)))))))) (VP (VBD came) (PP (IN from) (NP (JJ central) (@NP (NN budget) (NN support)))))) (, ,)) (CC and)) (S (NP-TMP (DT this) (NN year)) (@S (NP (DT the) (NN proportion)) (VP (MD will) (VP (@VP (@VP (VB fall) (S (VP (TO to) (VP (@VP (ADJP (RB slightly) (PP (IN over) (NP (DT a) (JJ sixth)))) (, ,)) (SBAR (RB even) (@SBAR (IN though) (S (NP (NP (DT the) (@NP (JJ total) (NN income))) (PP (IN of) (NP (DT the) (NNS funds)))) (VP (MD will) (VP (VB be) (NP (QP (CD <num>) (CD billion)) (NNS forints))))))))))) (NP-TMP (RBR higher) (@NP-TMP (DT this) (NN year)))) (PP (IN than) (NP (JJ last)))))))) (. .)))
0	0	the other resources of the funds are sums carried over from last year , various capital income , and credit .	(ROOT (S (NP (NP (DT the) (@NP (JJ other) (NNS resources))) (PP (IN of) (NP (DT the) (NNS funds)))) (@S (VP (VBP are) (NP (NP (NNS sums)) (VP (@VP (VBD carried) (PRT (RP over))) (PP (IN from) (NP (@NP (@NP (@NP (@NP (NP (JJ last) (NN year)) (, ,)) (NP (JJ various) (@NP (NN capital) (NN income)))) (, ,)) (CC and)) (NP (NN credit))))))) (. .))))
0	0	polsat plans two share issues in the future .	(ROOT (S (NP (NN polsat)) (@S (VP (VBZ plans) (NP (NP (CD two) (@NP (NN share) (NNS issues))) (PP (IN in) (NP (DT the) (NN future))))) (. .))))
0	0	after the last issue the share of the company founders is to be limited to <num> per cent .	(ROOT (S (PP (IN after) (NP (NP (NP (DT the) (@NP (JJ last) (NN issue))) (NP (DT the) (NN share))) (PP (IN of) (NP (DT the) (NN company))))) (@S (NP (NNS founders)) (@S (VP (VBZ is) (S (VP (TO to) (VP (VB be) (VP (VBN limited) (S (VP (TO to) (VP (VB <num>) (PP (IN per) (NP (NN cent))))))))))) (. .)))))
0	0	-lrb- warsaw pap in english <num> gmt <num> jan <num> au -rrb- nestle donates $ <num> to poznan health service : the swiss company nestle on <num> january transferred $ <num> dollars to the poznan provincial health service .	(ROOT (S (@S (@S (S (NP (NP (JJ -lrb-) (@NP (NN warsaw) (NN pap))) (PP (IN in) (NP (NP (JJ english) (@NP (NN <num>) (@NP (NN gmt) (@NP (NN <num>) (@NP (NN jan) (@NP (NN <num>) (NN au))))))) (NP (JJ -rrb-) (NN nestle))))) (VP (@VP (VBZ donates) (NP ($ $) (CD <num>))) (S (VP (TO to) (VP (VB poznan) (NP (NN health) (NN service))))))) (: :)) (S (NP (DT the) (@NP (JJ swiss) (NN company))) (VP (VBP nestle) (SBAR (S (PP (IN on) (NP (NN <num>))) (@S (NP (NNP january)) (VP (@VP (VBD transferred) (NP (ADJP ($ $) (JJ <num>)) (NNS dollars))) (PP (TO to) (NP (DT the) (@NP (NN poznan) (@NP (JJ provincial) (@NP (NN health) (NN service))))))))))))) (. .)))
0	0	nestle bought <num> percent of the shares in the goplana joint-venture company in poznan on <num> january .	(ROOT (S (NP (NN nestle)) (@S (VP (@VP (@VP (@VP (VBD bought) (NP (NP (JJ <num>) (NN percent)) (PP (IN of) (NP (DT the) (NNS shares))))) (PP (IN in) (NP (NP (DT the) (@NP (NN goplana) (@NP (JJ joint-venture) (NN company)))) (PP (IN in) (NP (NN poznan)))))) (PP (IN on) (NP (NN <num>)))) (NP-TMP (NNP january))) (. .))))
0	0	there were <num> , <num> unemployed people registered in job centers .	(ROOT (S (NP (EX there)) (@S (VP (VBD were) (NP (NP (NN <num>) (@NP (, ,) (@NP (NN <num>) (@NP (JJ unemployed) (NNS people))))) (VP (VBN registered) (PP (IN in) (NP (NN job) (NNS centers)))))) (. .))))
0	0	the company was set up in the autumn of <num> by the swedish firm `` scania trucks and bus `` and the polish state enterprise `` kapena `` .	(ROOT (S (NP (DT the) (NN company)) (@S (VP (VBD was) (VP (@VP (VBN set) (PRT (RP up))) (PP (IN in) (NP (@NP (@NP (NP (DT the) (NN autumn)) (PP (IN of) (NP (NN <num>)))) (PP (@PP (@PP (IN by) (NP (@NP (NP (DT the) (@NP (JJ swedish) (NN firm))) (`` ``)) (NP (NN scania) (NNS trucks)))) (CC and)) (NP (@NP (@NP (NP (NN bus)) (`` ``)) (CC and)) (NP (@NP (NP (DT the) (@NP (NN polish) (@NP (NN state) (NN enterprise)))) (`` ``)) (NP (FW kapena)))))) (`` ``))))) (. .))))
0	0	since that time the firm has produced <num> trucks of various kinds .	(ROOT (S (PP (IN since) (NP (DT that) (NN time))) (@S (NP (DT the) (NN firm)) (@S (VP (VBZ has) (VP (VBN produced) (NP (NP (JJ <num>) (NNS trucks)) (PP (IN of) (NP (JJ various) (NNS kinds)))))) (. .)))))
0	0	the success of the company led to the decision to manufacture buses .	(ROOT (S (NP (NP (DT the) (NN success)) (PP (IN of) (NP (DT the) (NN company)))) (@S (VP (@VP (VBD led) (PP (TO to) (NP (DT the) (NN decision)))) (S (VP (TO to) (VP (VB manufacture) (NP (NNS buses)))))) (. .))))
0	0	the first issues of two - and five-year bonds , carrying fixed interest rates of <num> and <num> percent per annum respectively , will be sold at auctions from <num> february until <num> may <num> .	(ROOT (S (NP (NP (DT the) (@NP (JJ first) (NNS issues))) (PP (IN of) (NP (@NP (@NP (NP (CD two)) (: -)) (CC and)) (NP (JJ five-year) (NNS bonds))))) (@S (, ,) (@S (S (VP (@VP (VBG carrying) (NP (NP (JJ fixed) (@NP (NN interest) (NNS rates))) (PP (IN of) (NP (NP (NN <num>) (@NP (CC and) (@NP (NN <num>) (NN percent)))) (PP (IN per) (NP (NN annum))))))) (ADVP (RB respectively)))) (@S (, ,) (@S (VP (MD will) (VP (VB be) (VP (@VP (VBN sold) (PP (IN at) (NP (NP (NNS auctions)) (PP (IN from) (NP (JJ <num>) (NNP february)))))) (SBAR (IN until) (S (NP (NN <num>)) (VP (MD may) (VP (VB <num>)))))))) (. .)))))))
0	0	-lrb- warsaw pap in english <num> gmt <num> jan <num> au -rrb- agreement on economic cooperation with israel : the central office of planning -lrb- cup -rrb- and the israeli ministry of economics and planning signed a joint communique announcing the establishment of closer cooperation in selected areas between the two ministries and cooperation that would create conditions for joint actions of economic units , cup chief miroslaw pietrewicz told correspondents after a four-day visit to poland by israeli economics and planning minister shimon shetrit .	(ROOT (NP (@NP (@NP (NP (NP (JJ -lrb-) (@NP (NN warsaw) (NN pap))) (PP (IN in) (NP (NP (JJ english) (@NP (NN <num>) (@NP (NN gmt) (@NP (NN <num>) (@NP (NN jan) (@NP (NN <num>) (@NP (NN au) (@NP (JJ -rrb-) (NN agreement))))))))) (PP (IN on) (NP (NP (JJ economic) (NN cooperation)) (PP (IN with) (NP (NN israel)))))))) (: :)) (NP (@NP (@NP (@NP (@NP (NP (DT the) (@NP (JJ central) (NN office))) (PP (IN of) (S (VP (@VP (VP (VBG planning) (NP (@NP (NP (JJ -lrb-) (@NP (NN cup) (NN -rrb-))) (CC and)) (NP (NP (DT the) (@NP (JJ israeli) (NN ministry))) (PP (IN of) (NP (NNS economics)))))) (CC and)) (VP (VBG planning) (VP (@VP (VBN signed) (NP (DT a) (@NP (JJ joint) (NN communique)))) (S (VP (VBG announcing) (NP (NP (DT the) (NN establishment)) (PP (IN of) (NP (NP (JJR closer) (NN cooperation)) (PP (IN in) (NP (@NP (NP (NP (VBN selected) (NNS areas)) (PP (IN between) (NP (DT the) (@NP (CD two) (NNS ministries))))) (CC and)) (NP (NP (NN cooperation)) (SBAR (WHNP (WDT that)) (S (VP (MD would) (VP (@VP (VB create) (NP (NNS conditions))) (PP (IN for) (NP (NP (JJ joint) (NNS actions)) (PP (IN of) (NP (JJ economic) (NNS units))))))))))))))))))))))) (, ,)) (NP (NP (NN cup) (NN chief)) (SBAR (S (NP (NN miroslaw) (NN pietrewicz)) (VP (@VP (@VP (VBD told) (NP (NNS correspondents))) (PP (IN after) (NP (DT a) (@NP (JJ four-day) (NN visit))))) (S (VP (TO to) (VP (VB poland) (PP (IN by) (NP (JJ israeli) (NNS economics))))))))))) (CC and)) (NP (VBG planning) (@NP (NN minister) (@NP (NN shimon) (NN shetrit)))))) (. .)))
